KUNNR,NAME1,ORT01,BZIRK,KKBER,KLIMK,SKFOR,CTLPC,CTLPC_DESC,CRBLB,CASHD,ZTERM,GRUPP,WAERS
CUST-1001,Tata Steel Kalinganagar,Odisha,ZONE-EAST,CC01,10000000,7606389.99,003,HIGH,,2026-07-24,NET45,CG04,INR
CUST-1002,JSW Steel Vijayanagar,Karnataka,ZONE-SOUTH,CC01,8000000,4490418.61,001,LOW,,2026-06-10,NET30,CG01,INR
CUST-1003,Bharat Forge Pune,Maharashtra,ZONE-WEST,CC01,6000000,1793824.56,003,HIGH,,2026-07-25,NET60,CG04,INR
CUST-1004,Thermax Ltd Pune,Maharashtra,ZONE-WEST,CC01,4000000,3652914.17,001,LOW,,2026-06-21,NET30,CG04,INR
CUST-1005,Kirloskar Brothers Dewas,Madhya Pradesh,ZONE-CENTRAL,CC01,3000000,747203.7,002,MEDIUM,,2026-08-25,NET45,CG01,INR
CUST-1006,NTPC Vindhyachal,Madhya Pradesh,ZONE-CENTRAL,CC01,5000000,1265870.97,001,LOW,,2026-08-13,NET60,CG02,INR
CUST-1007,ACC Cement Wadi,Karnataka,ZONE-SOUTH,CC01,2500000,1859883.9,001,LOW,,2026-06-12,NET30,CG02,INR
CUST-1008,Ultratech Cement Awarpur,Maharashtra,ZONE-WEST,CC01,3500000,2900294.65,003,HIGH,,2026-07-06,NET45,CG01,INR
CUST-1009,Hindalco Renukoot,Uttar Pradesh,ZONE-NORTH,CC01,7000000,3794556.35,001,LOW,,2026-07-06,NET60,CG01,INR
CUST-1010,SAIL Bhilai Steel Plant,Chhattisgarh,ZONE-CENTRAL,CC01,9000000,8156961.79,001,LOW,,2026-08-22,NET45,CG03,INR
CUST-1011,Godrej Industries Mumbai,Maharashtra,ZONE-WEST,CC01,2000000,1135902.73,001,LOW,,2026-07-07,NET30,CG03,INR
CUST-1012,Mahindra CIE Automotive,Maharashtra,ZONE-WEST,CC01,3000000,2112716.56,002,MEDIUM,,2026-08-06,NET30,CG03,INR
CUST-1013,Larsen & Toubro Hazira,Gujarat,ZONE-WEST,CC01,8000000,3203679.97,003,HIGH,,2026-07-20,LC,CG04,INR
CUST-1014,ONGC Hazira Plant,Gujarat,ZONE-WEST,CC01,6000000,1738139.51,001,LOW,,2026-08-15,NET60,CG04,INR
CUST-1015,Indian Oil Mathura Refinery,Uttar Pradesh,ZONE-NORTH,CC01,5000000,1113636.88,001,LOW,,2026-08-03,NET45,CG03,INR
CUST-1016,HPCL Visakh Refinery,Andhra Pradesh,ZONE-SOUTH,CC01,4500000,3452141.42,001,LOW,,2026-07-05,NET60,CG04,INR
CUST-1017,Reliance Industries Jamnagar,Gujarat,ZONE-WEST,CC01,12000000,6461199.28,002,MEDIUM,,2026-06-27,LC,CG01,INR
CUST-1018,Adani Ports Mundra,Gujarat,ZONE-WEST,CC01,3500000,1019478.75,002,MEDIUM,,2026-07-25,NET30,CG01,INR
CUST-1019,Dr Reddy's Hyderabad,Telangana,ZONE-SOUTH,CC01,2000000,1777253.59,001,LOW,,2026-08-27,NET30,CG04,INR
CUST-1020,Sun Pharma Vadodara,Gujarat,ZONE-WEST,CC01,1800000,1074294.23,001,LOW,,2026-08-15,NET45,CG03,INR
CUST-1021,Coromandel Fertilisers Kakinada,Andhra Pradesh,ZONE-SOUTH,CC01,2500000,987566.14,001,LOW,,2026-06-22,NET30,CG01,INR
CUST-1022,Chambal Fertilisers Kota,Rajasthan,ZONE-NORTH,CC01,2000000,1609217.87,002,MEDIUM,,2026-06-09,NET45,CG02,INR
CUST-1023,Voltas Ltd Chennai,Tamil Nadu,ZONE-SOUTH,CC01,1500000,976717.31,003,HIGH,,2026-07-25,NET30,CG04,INR
CUST-1024,Blue Star Engineering Mumbai,Maharashtra,ZONE-WEST,CC01,1200000,705180.84,002,MEDIUM,,2026-07-27,NET30,CG04,INR
CUST-1025,KSB Pumps Pune,Maharashtra,ZONE-WEST,CC01,2200000,1310490.55,002,MEDIUM,,2026-07-19,NET45,CG04,INR
CUST-1026,Flowserve India Chennai,Tamil Nadu,ZONE-SOUTH,CC01,1800000,1252541.13,002,MEDIUM,,2026-08-16,NET30,CG03,INR
CUST-1027,Grundfos Pumps Chennai,Tamil Nadu,ZONE-SOUTH,CC01,1500000,582116.39,001,LOW,,2026-07-18,NET45,CG01,INR
CUST-1028,WABCO India Chennai,Tamil Nadu,ZONE-SOUTH,CC01,1000000,641861.92,001,LOW,,2026-06-12,NET30,CG02,INR
CUST-1029,Bosch Automotive Pune,Maharashtra,ZONE-WEST,CC01,2500000,1737414.73,001,LOW,,2026-06-27,NET30,CG03,INR
CUST-1030,SKF Bearings Pune,Maharashtra,ZONE-WEST,CC01,1500000,1303048.19,001,LOW,,2026-08-22,NET45,CG03,INR
CUST-1031,Siemens Energy Vadodara,Gujarat,ZONE-WEST,CC01,4000000,2166504.79,001,LOW,,2026-07-04,NET60,CG01,INR
CUST-1032,ABB India Nelamangala,Karnataka,ZONE-SOUTH,CC01,3500000,2201936.48,001,LOW,,2026-06-17,NET45,CG04,INR
CUST-1033,Havells Industries Noida,Uttar Pradesh,ZONE-NORTH,CC01,2000000,852718.73,001,LOW,,2026-07-06,NET30,CG02,INR
CUST-1034,Schneider Electric Vadodara,Gujarat,ZONE-WEST,CC01,3000000,1851220.72,001,LOW,,2026-07-17,NET45,CG03,INR
CUST-1035,Emerson Process Pune,Maharashtra,ZONE-WEST,CC01,1800000,851161.87,002,MEDIUM,,2026-08-27,NET30,CG01,INR
CUST-1036,Forbes Marshall Pune,Maharashtra,ZONE-WEST,CC01,1200000,806839.29,001,LOW,,2026-06-15,NET30,CG03,INR
