MATNR,MAKTX,MTART,MBRSH,MATKL,MEINS,NETPR,MSTAE,ERSDA
MAT-CG-10001,Crompton IE2 Motor 0.5 HP 3-Phase,HAWA,M,MOTOR-IE2,EA,4200,A,2022-01-29
MAT-CG-10002,Crompton IE2 Motor 1 HP 3-Phase,HAWA,M,MOTOR-IE2,EA,5800,A,2025-01-14
MAT-CG-10003,Crompton IE2 Motor 2 HP 3-Phase,HAWA,M,MOTOR-IE2,EA,8400,A,2025-07-10
MAT-CG-10004,Crompton IE2 Motor 3 HP 3-Phase,HAWA,M,MOTOR-IE2,EA,11200,A,2024-02-14
MAT-CG-10005,Crompton IE2 Motor 5 HP 3-Phase,HAWA,M,MOTOR-IE2,EA,18500,A,2024-04-16
MAT-CG-10006,Crompton IE2 Motor 7.5 HP 3-Phase,HAWA,M,MOTOR-IE2,EA,24000,A,2024-05-30
MAT-CG-10007,Crompton IE2 Motor 10 HP 3-Phase,HAWA,M,MOTOR-IE2,EA,31500,A,2024-11-18
MAT-CG-10008,Crompton IE2 Motor 15 HP 3-Phase,HAWA,M,MOTOR-IE2,EA,44000,A,2025-02-02
MAT-CG-10009,Crompton IE2 Motor 20 HP 3-Phase,HAWA,M,MOTOR-IE2,EA,57000,A,2021-11-14
MAT-CG-10010,Crompton IE2 Motor 25 HP 3-Phase,HAWA,M,MOTOR-IE2,EA,68000,A,2022-08-10
MAT-CG-10011,Crompton IE2 Motor 30 HP 3-Phase,HAWA,M,MOTOR-IE2,EA,82000,A,2025-03-05
MAT-CG-10012,Crompton IE2 Motor 40 HP 3-Phase,HAWA,M,MOTOR-IE2,EA,105000,A,2022-05-09
MAT-CG-10013,Crompton IE3 Motor 5 HP 3-Phase,HAWA,M,MOTOR-IE3,EA,22000,A,2023-04-19
MAT-CG-10014,Crompton IE3 Motor 7.5 HP 3-Phase,HAWA,M,MOTOR-IE3,EA,29500,A,2025-06-26
MAT-CG-10015,Crompton IE3 Motor 10 HP 3-Phase,HAWA,M,MOTOR-IE3,EA,38000,A,2025-06-30
MAT-CG-10016,Crompton IE3 Motor 15 HP 3-Phase,HAWA,M,MOTOR-IE3,EA,52000,A,2025-02-20
MAT-CG-10017,Crompton IE3 Motor 20 HP 3-Phase,HAWA,M,MOTOR-IE3,EA,67000,A,2024-06-09
MAT-CG-10018,Crompton IE3 Motor 25 HP 3-Phase,HAWA,M,MOTOR-IE3,EA,84000,A,2024-05-11
MAT-CG-10019,Crompton IE3 Motor 30 HP 3-Phase,HAWA,M,MOTOR-IE3,EA,98000,A,2022-10-31
MAT-CG-10020,Crompton IE3 Motor 40 HP 3-Phase,HAWA,M,MOTOR-IE3,EA,128000,A,2022-04-16
MAT-CG-10021,Crompton IE3 Motor 50 HP 3-Phase,HAWA,M,MOTOR-IE3,EA,158000,A,2025-07-07
MAT-CG-10022,Crompton IE3 Motor 75 HP 3-Phase,HAWA,M,MOTOR-IE3,EA,220000,A,2022-07-08
MAT-CG-10023,Crompton IE3 Motor 100 HP 3-Phase,HAWA,M,MOTOR-IE3,EA,310000,A,2024-07-19
MAT-CG-10024,Crompton Flame Proof Motor 5 HP,HAWA,M,MOTOR-FLP,EA,38000,A,2022-01-08
MAT-CG-10025,Crompton Flame Proof Motor 10 HP,HAWA,M,MOTOR-FLP,EA,62000,A,2022-08-10
MAT-CG-10026,Crompton Flame Proof Motor 20 HP,HAWA,M,MOTOR-FLP,EA,105000,A,2023-04-24
MAT-CG-10027,Crompton Flame Proof Motor 30 HP,HAWA,M,MOTOR-FLP,EA,148000,A,2024-06-05
MAT-CG-10028,Crompton Submersible Motor 1 HP,HAWA,M,MOTOR-SUB,EA,6800,A,2023-02-23
MAT-CG-10029,Crompton Submersible Motor 2 HP,HAWA,M,MOTOR-SUB,EA,9200,A,2022-05-12
MAT-CG-10030,Crompton Submersible Motor 3 HP,HAWA,M,MOTOR-SUB,EA,13500,A,2024-02-08
MAT-CG-10031,Crompton Submersible Motor 5 HP,HAWA,M,MOTOR-SUB,EA,19800,A,2025-08-17
MAT-CG-10032,Crompton Submersible Motor 7.5 HP,HAWA,M,MOTOR-SUB,EA,28000,A,2024-10-08
MAT-CG-10033,Crompton VFD Drive 5 HP 415V,HAWA,M,DRIVE-VFD,EA,18500,A,2021-10-01
MAT-CG-10034,Crompton VFD Drive 10 HP 415V,HAWA,M,DRIVE-VFD,EA,28000,A,2023-04-18
MAT-CG-10035,Crompton VFD Drive 20 HP 415V,HAWA,M,DRIVE-VFD,EA,46000,A,2023-10-04
MAT-CG-10036,Crompton VFD Drive 30 HP 415V,HAWA,M,DRIVE-VFD,EA,64000,A,2024-02-08
MAT-CG-10037,Crompton VFD Drive 50 HP 415V,HAWA,M,DRIVE-VFD,EA,98000,A,2024-10-16
MAT-CG-10038,Crompton Soft Starter 10 HP,HAWA,M,DRIVE-SS,EA,22000,A,2024-06-16
MAT-CG-10039,Crompton Soft Starter 20 HP,HAWA,M,DRIVE-SS,EA,36000,A,2023-10-11
MAT-CG-10040,Crompton Soft Starter 30 HP,HAWA,M,DRIVE-SS,EA,52000,A,2025-02-02
MAT-CG-10041,Crompton Soft Starter 50 HP,HAWA,M,DRIVE-SS,EA,78000,A,2025-02-22
MAT-CG-10042,Crompton Motor Starter DOL 5 HP,HAWA,M,STARTER,EA,3200,A,2023-07-14
MAT-CG-10043,Crompton Motor Starter DOL 10 HP,HAWA,M,STARTER,EA,4800,A,2025-02-13
MAT-CG-10044,Crompton Motor Starter DOL 15 HP,HAWA,M,STARTER,EA,6200,A,2023-08-26
MAT-CG-10045,Crompton Motor Starter Star-Delta 20HP,HAWA,M,STARTER,EA,8400,A,2023-09-26
MAT-CG-10046,Crompton Motor Starter Star-Delta 30HP,HAWA,M,STARTER,EA,11500,A,2022-04-12
MAT-CG-10047,Crompton Pump Motor Set 1 HP,HAWA,M,PUMP-SET,EA,8500,A,2024-03-07
MAT-CG-10048,Crompton Pump Motor Set 2 HP,HAWA,M,PUMP-SET,EA,12000,A,2025-06-03
MAT-CG-10049,Crompton Pump Motor Set 3 HP,HAWA,M,PUMP-SET,EA,16500,A,2023-02-02
MAT-CG-10050,Crompton Pump Motor Set 5 HP,HAWA,M,PUMP-SET,EA,24000,A,2022-08-28
MAT-CG-10051,Crompton Pump Motor Set 7.5 HP,HAWA,M,PUMP-SET,EA,33000,A,2024-12-18
