VBELN,AUART,KUNNR,MATNR,KWMENG,NETWR,WADAT,WERKS,GBSTA,ERDAT
SO-39801436,OR,CUST-1045,MAT-CG-10028,25,168463.43,2026-12-15,PL-MUM,B,2025-12-09
SO-61830338,OR,CUST-1048,MAT-CG-10024,62,2118491.73,2026-11-20,PL-DEL,C,2025-09-25
SO-28468304,OR,CUST-1037,MAT-CG-10022,39,8487863.69,2026-12-29,PL-BLR,C,2025-12-26
SO-20633503,OR,CUST-1033,MAT-CG-10029,3,24785.77,2026-10-08,PL-NGP,C,2025-10-16
SO-24923247,OR,CUST-1031,MAT-CG-10034,110,2800180.94,2026-09-12,PL-HYD,B,2025-09-30
SO-18429833,OR,CUST-1064,MAT-CG-10051,119,3721131.25,2026-09-04,PL-NGP,B,2026-04-22
SO-49093864,OR,CUST-1001,MAT-CG-10046,38,415117.33,2026-10-31,PL-JAI,B,2026-05-20
SO-80260907,OR,CUST-1009,MAT-CG-10043,23,109731.25,2027-01-17,PL-NGP,B,2025-11-13
SO-73100462,OR,CUST-1082,MAT-CG-10002,101,539108.56,2026-12-04,PL-CHE,C,2026-08-15
SO-56278607,OR,CUST-1094,MAT-CG-10023,19,5627444.84,2026-09-26,PL-JAI,C,2026-03-06
SO-57284777,RO,CUST-1044,MAT-CG-10009,13,723035.31,2026-10-14,PL-PUN,C,2025-12-21
SO-28099607,OR,CUST-1092,MAT-CG-10041,48,3635067.39,2026-12-26,PL-MUM,A,2026-05-12
SO-15624520,OR,CUST-1040,MAT-CG-10003,53,417152.34,2027-01-17,PL-PUN,A,2026-08-05
SO-48401154,OR,CUST-1100,MAT-CG-10049,50,722876.98,2027-02-14,PL-KOL,A,2026-06-21
SO-63690013,CS,CUST-1057,MAT-CG-10024,113,4235184.54,2026-12-07,PL-KOL,A,2025-12-12
SO-59304469,RO,CUST-1035,MAT-CG-10045,129,1055588.13,2026-12-17,PL-DEL,B,2025-10-19
SO-49428661,OR,CUST-1014,MAT-CG-10012,141,13034454.63,2027-02-16,PL-CHE,A,2026-01-07
SO-32366682,CS,CUST-1057,MAT-CG-10039,111,3659141.63,2026-09-10,PL-KOL,B,2026-01-13
SO-20071854,CS,CUST-1082,MAT-CG-10018,16,1240253.05,2027-01-09,PL-BLR,A,2026-06-11
SO-14670638,OR,CUST-1009,MAT-CG-10039,114,3696388.26,2027-02-12,PL-KOL,A,2026-02-08
