KUNNR,CTLPC,CTLPC_DESC,TOTAL_ORDERS,DISPUTED_ORDERS,DISPUTE_RATE,LATE_PAYMENTS,LATE_PAY_RATE,LAST_DISPUTE_TYPE,LAST_DISPUTE_DATE,CRBLB,BLACKLIST,CASHD,AVG_DSO_DAYS,VBAK_CTLPC
CUST-1000,001,LOW,63,0,0.0,0,0.0,NONE,,,,2026-05-07,74,001
CUST-1001,001,LOW,56,6,0.1071,10,0.1786,PRICE_DISPUTE,2025-11-21,,,2026-06-26,65,001
CUST-1002,002,MEDIUM,61,1,0.0164,1,0.0164,DELIVERY_DELAY,2025-09-22,,,2026-05-08,29,002
CUST-1003,001,LOW,13,0,0.0,1,0.0769,NONE,,,,2026-07-12,60,001
CUST-1004,002,MEDIUM,79,8,0.1013,10,0.1266,NONE,2025-09-28,,,2026-06-19,53,002
CUST-1005,001,LOW,42,3,0.0714,8,0.1905,NONE,2025-12-22,,,2026-05-19,26,001
CUST-1006,001,LOW,19,2,0.1053,1,0.0526,NONE,2025-12-11,,,2026-08-22,34,001
CUST-1007,001,LOW,57,5,0.0877,7,0.1228,NONE,2025-12-30,,,2026-06-11,66,001
CUST-1008,002,MEDIUM,17,1,0.0588,3,0.1765,DELIVERY_DELAY,2026-03-22,,,2026-05-21,43,002
CUST-1009,001,LOW,24,3,0.125,0,0.0,PRICE_DISPUTE,2026-06-17,,,2026-07-23,25,001
CUST-1010,002,MEDIUM,60,1,0.0167,11,0.1833,NONE,2026-01-21,,,2026-06-17,71,002
CUST-1011,001,LOW,21,0,0.0,4,0.1905,NONE,,,,2026-06-10,55,001
CUST-1012,001,LOW,47,1,0.0213,6,0.1277,DELIVERY_DELAY,2025-12-26,,,2026-07-18,75,001
CUST-1013,001,LOW,11,1,0.0909,2,0.1818,DELIVERY_DELAY,2026-01-31,,,2026-08-08,26,001
CUST-1014,003,HIGH,78,8,0.1026,6,0.0769,QUALITY_CLAIM,2025-11-26,,X,2026-08-08,34,003
