LIFNR,NAME1,MATNR,NETPR,MINBM,WEBAZ,EKGRP,MONTHLY_CAP,BOOKED_CAP,AVAIL_CAP,RELIABILITY,LAND1,LOEVM
VEND-2003,Siemens Ltd India,MAT-10001,2891.37,5,18,PG02,546,325,221,0.83,IN,
VEND-2005,L&T Electrical & Automation,MAT-10001,2922.42,20,16,PG03,428,53,375,0.85,IN,
VEND-2007,Crompton Greaves Consumer,MAT-10002,161.02,20,13,PG01,137,58,79,0.98,IN,
VEND-2008,Eaton India Pvt Ltd,MAT-10002,196.72,5,20,PG02,513,263,250,0.83,IN,
VEND-2005,L&T Electrical & Automation,MAT-10002,174.28,50,17,PG01,292,132,160,0.77,IN,
VEND-2003,Siemens Ltd India,MAT-10003,4993.12,10,8,PG02,815,496,319,0.87,IN,
VEND-2008,Eaton India Pvt Ltd,MAT-10003,4951.15,5,17,PG01,665,417,248,0.89,IN,
VEND-2004,ABB India Limited,MAT-10003,6199.82,20,19,PG03,257,127,130,0.79,IN,
VEND-2008,Eaton India Pvt Ltd,MAT-10004,1062.99,10,19,PG03,567,282,285,0.96,IN,
VEND-2002,Schneider Electric India,MAT-10004,1104.38,50,13,PG03,984,71,913,0.79,IN,
VEND-2005,L&T Electrical & Automation,MAT-10005,22155.87,50,7,PG02,843,305,538,0.87,IN,
VEND-2006,Polycab India Ltd,MAT-10006,72.47,20,9,PG03,881,556,325,0.78,IN,
VEND-2005,L&T Electrical & Automation,MAT-10006,82.07,50,4,PG02,492,119,373,0.92,IN,
VEND-2007,Crompton Greaves Consumer,MAT-10007,1505.15,50,4,PG01,911,667,244,0.86,IN,
VEND-2004,ABB India Limited,MAT-10007,1465.48,50,6,PG03,704,339,365,0.97,IN,
VEND-2006,Polycab India Ltd,MAT-10007,1206.46,10,5,PG02,115,92,23,0.93,IN,
VEND-2006,Polycab India Ltd,MAT-10008,12218.74,20,20,PG02,809,407,402,0.98,IN,
VEND-2005,L&T Electrical & Automation,MAT-10008,12918.64,5,5,PG01,741,499,242,0.89,IN,
VEND-2004,ABB India Limited,MAT-10009,44.41,5,17,PG01,192,111,81,0.91,IN,
VEND-2006,Polycab India Ltd,MAT-10009,37.52,5,12,PG02,129,5,124,0.82,IN,
VEND-2004,ABB India Limited,MAT-10010,93700.13,10,8,PG01,643,421,222,0.74,IN,
VEND-2004,ABB India Limited,MAT-10011,188.63,20,17,PG02,697,146,551,0.9,IN,
VEND-2008,Eaton India Pvt Ltd,MAT-10011,225.03,10,5,PG02,923,476,447,0.98,IN,
VEND-2005,L&T Electrical & Automation,MAT-10012,7783.01,20,9,PG02,806,256,550,0.95,IN,
VEND-2006,Polycab India Ltd,MAT-10012,7623.92,20,21,PG02,209,60,149,0.99,IN,
VEND-2004,ABB India Limited,MAT-10012,8881.51,50,11,PG01,402,11,391,0.87,IN,
VEND-2001,Havells India Ltd,MAT-10013,19703.78,20,10,PG03,608,426,182,0.94,IN,
VEND-2005,L&T Electrical & Automation,MAT-10013,18355.44,10,6,PG03,324,97,227,0.89,IN,
VEND-2006,Polycab India Ltd,MAT-10013,15558.82,20,7,PG01,416,225,191,0.97,IN,
VEND-2007,Crompton Greaves Consumer,MAT-10014,15041.56,20,19,PG03,305,33,272,0.97,IN,
VEND-2002,Schneider Electric India,MAT-10014,13061.07,50,12,PG03,950,168,782,0.96,IN,
VEND-2008,Eaton India Pvt Ltd,MAT-10015,3255.39,10,15,PG03,177,36,141,0.82,IN,
VEND-2001,Havells India Ltd,MAT-10016,25719.86,20,21,PG02,649,126,523,0.94,IN,
VEND-2003,Siemens Ltd India,MAT-10016,27253.61,50,3,PG03,480,55,425,0.96,IN,
VEND-2006,Polycab India Ltd,MAT-10017,18.42,50,12,PG03,763,64,699,0.83,IN,
VEND-2005,L&T Electrical & Automation,MAT-10017,19.9,20,18,PG01,243,11,232,0.75,IN,
VEND-2002,Schneider Electric India,MAT-10017,17.25,20,20,PG02,650,138,512,0.88,IN,
VEND-2003,Siemens Ltd India,MAT-10018,6022.88,20,4,PG03,201,125,76,0.82,IN,
VEND-2004,ABB India Limited,MAT-10018,6546.67,20,6,PG03,554,227,327,0.82,IN,
VEND-2006,Polycab India Ltd,MAT-10018,5154.7,20,9,PG01,760,367,393,0.98,IN,
VEND-2002,Schneider Electric India,MAT-10019,44792.54,5,4,PG02,317,164,153,0.79,IN,
VEND-2006,Polycab India Ltd,MAT-10019,39772.18,10,21,PG01,228,144,84,0.94,IN,
VEND-2006,Polycab India Ltd,MAT-10020,2325.84,5,11,PG01,892,151,741,0.99,IN,
