MATNR,MAKTX,MTART,MBRSH,MATKL,MEINS,NETPR,MSTAE,ERSDA
MAT-10001,Schneider Electric MCB 32A,HAWA,E,ELEC-SWITCH,EA,4200,A,2022-01-28
MAT-10002,Havells 4-Core Copper Cable 10mm,HAWA,E,ELEC-CABLE,MTR,285,A,2025-01-13
MAT-10003,Siemens MCCB 100A 3P,HAWA,E,ELEC-SWITCH,EA,8750,A,2025-07-09
MAT-10004,Legrand Industrial Socket 32A,HAWA,E,ELEC-SOCKET,EA,1850,A,2024-02-13
MAT-10005,ABB Soft Starter 15kW,HAWA,E,ELEC-CTRL,EA,32000,A,2024-04-15
MAT-10006,Polycab 6mm FR PVC Cable,HAWA,E,ELEC-CABLE,MTR,118,A,2024-05-29
MAT-10007,L&T Power Contactor 40A,HAWA,E,ELEC-CTRL,EA,2100,A,2024-11-17
MAT-10008,Crompton 3-Phase Motor 5HP,HAWA,E,ELEC-MOTOR,EA,18500,A,2025-02-01
MAT-10009,Finolex 2.5mm FRLS Cable,HAWA,E,ELEC-CABLE,MTR,62,A,2021-11-13
MAT-10010,Eaton UPS 10kVA Online,HAWA,E,ELEC-UPS,EA,145000,A,2022-08-09
MAT-10011,Phoenix Contact Terminal Block,HAWA,E,ELEC-CONN,EA,320,A,2025-03-04
MAT-10012,Rittal IP55 Enclosure 600x400,HAWA,E,ELEC-ENC,EA,12400,A,2022-05-08
MAT-10013,Omron PLC CP1E 20I/O,HAWA,E,ELEC-PLC,EA,28000,A,2023-04-18
MAT-10014,Fluke 87V Digital Multimeter,HAWA,E,ELEC-TEST,EA,22000,A,2025-06-25
MAT-10015,Patlite Signal Tower LED 3-Stack,HAWA,E,ELEC-IND,EA,4800,A,2025-06-29
MAT-10016,Rockwell VFD 7.5kW 415V,HAWA,E,ELEC-CTRL,EA,41000,A,2025-02-19
MAT-10017,Wago 2-Wire Connector 2.5mm,HAWA,E,ELEC-CONN,EA,28,A,2024-06-08
MAT-10018,Honeywell Pressure Transmitter,HAWA,E,ELEC-SENSOR,EA,9200,A,2024-05-10
MAT-10019,Endress+Hauser Flow Meter DN50,HAWA,E,ELEC-SENSOR,EA,68000,A,2022-10-30
MAT-10020,Pepperl+Fuchs Proximity Sensor,HAWA,E,ELEC-SENSOR,EA,3400,A,2022-04-15
