MATNR,WERKS,STPRS,VERPR,PEINH,WAERS,FLOOR_MARGIN,FLOOR_PRICE,LAEDT
MAT-10001,PL02,2933.12,2930.62,1,INR,0.1774,3565.67,2026-07-17
MAT-10002,PL02,165.68,163.12,1,INR,0.1251,189.37,2026-08-21
MAT-10003,PL03,5408.55,5448.89,1,INR,0.1274,6198.2,2026-08-10
MAT-10004,PL02,1064.42,1046.76,1,INR,0.1763,1292.24,2026-07-29
MAT-10005,PL03,18244.38,18314.53,1,INR,0.1964,22703.31,2026-06-11
MAT-10006,PL02,69.43,70.56,1,INR,0.1723,83.88,2026-07-22
MAT-10007,PL02,1462.08,1466.09,1,INR,0.219,1872.06,2026-08-22
MAT-10008,PL01,12092.29,12153.0,1,INR,0.194,15002.84,2026-07-27
MAT-10009,PL01,41.06,41.15,1,INR,0.1357,47.51,2026-08-09
MAT-10010,PL03,79815.96,79719.9,1,INR,0.1651,95599.43,2026-08-25
MAT-10011,PL03,188.59,191.3,1,INR,0.1907,233.03,2026-08-20
MAT-10012,PL03,8269.01,8298.71,1,INR,0.2124,10499.0,2026-08-04
MAT-10013,PL03,17423.66,17179.02,1,INR,0.1745,21106.8,2026-07-26
MAT-10014,PL01,15191.6,15369.42,1,INR,0.1271,17403.6,2026-06-14
MAT-10015,PL02,3251.15,3243.24,1,INR,0.1769,3949.88,2026-07-01
MAT-10016,PL02,27350.09,27350.61,1,INR,0.19,33765.54,2026-06-27
MAT-10017,PL02,17.48,17.64,1,INR,0.1798,21.31,2026-06-13
MAT-10018,PL03,5451.58,5524.84,1,INR,0.1291,6259.71,2026-06-17
MAT-10019,PL03,44187.14,44755.25,1,INR,0.1221,50332.77,2026-06-17
MAT-10020,PL02,1893.25,1894.69,1,INR,0.1956,2353.62,2026-07-04
