ROUTE,VSTEL,BZIRK,TDLNR,TRATY,TTIME,LPTIME,MAX_KG,BOOKED_KG,AVAIL_KG,NEXT_SLOT,LAEDT
RT-MUM-DEL,WH-MUM,ZONE-NORTH,BlueDart,ROAD,3,1,18000,10748.0,7252.0,2026-08-31,2026-08-26
RT-MUM-BLR,WH-MUM,ZONE-SOUTH,Delhivery,ROAD,2,1,12000,7963.0,4037.0,2026-08-30,2026-08-25
RT-MUM-HYD,WH-MUM,ZONE-SOUTH,DTDC,ROAD,2,1,8000,2465.0,5535.0,2026-08-31,2026-08-11
RT-MUM-CHE,WH-MUM,ZONE-SOUTH,FedEx,ROAD,3,1,10000,4781.0,5219.0,2026-08-31,2026-08-21
RT-DEL-BLR,WH-DEL,ZONE-SOUTH,BlueDart,ROAD,4,1,15000,4932.0,10068.0,2026-09-02,2026-08-13
RT-DEL-HYD,WH-DEL,ZONE-SOUTH,Delhivery,ROAD,3,1,9000,3263.0,5737.0,2026-08-30,2026-08-14
RT-DEL-KOL,WH-DEL,ZONE-EAST,DTDC,ROAD,2,1,7000,3826.0,3174.0,2026-09-01,2026-08-13
RT-BLR-CHE,WH-BLR,ZONE-SOUTH,FedEx,ROAD,1,1,11000,6892.0,4108.0,2026-09-02,2026-08-13
RT-BLR-HYD,WH-BLR,ZONE-SOUTH,BlueDart,ROAD,1,1,8500,3586.0,4914.0,2026-09-03,2026-08-28
RT-BLR-MUM,WH-BLR,ZONE-WEST,Delhivery,ROAD,2,1,13000,9100.0,3900.0,2026-09-03,2026-08-20
