VBELN,AUART,KUNNR,MATNR,KWMENG,NETWR,WADAT,WERKS,GBSTA,ERDAT
SO-639131,OR,CUST-1003,MAT-10011,14,3995.14,2026-10-31,PL01,C,2026-06-27
SO-595631,OR,CUST-1003,MAT-10019,78,5132643.21,2026-10-21,PL01,A,2026-07-06
SO-544154,OR,CUST-1006,MAT-10014,50,1012059.07,2026-09-05,PL03,C,2026-07-05
SO-863587,OR,CUST-1005,MAT-10002,56,15482.62,2026-09-12,PL01,A,2026-06-12
SO-246991,OR,CUST-1006,MAT-10018,62,500539.24,2026-10-28,PL01,A,2026-04-08
SO-153045,OR,CUST-1010,MAT-10018,17,156383.17,2026-08-31,PL01,A,2026-06-18
SO-604740,OR,CUST-1003,MAT-10014,67,1444074.2,2026-09-06,PL01,B,2026-07-30
SO-922157,OR,CUST-1012,MAT-10013,38,977019.34,2026-10-23,PL03,C,2026-03-10
SO-299122,OR,CUST-1004,MAT-10016,24,868532.65,2026-09-06,PL03,C,2026-03-14
SO-159942,OR,CUST-1000,MAT-10002,45,12025.06,2026-11-02,PL03,A,2026-07-16
SO-992697,OR,CUST-1002,MAT-10017,15,361.32,2026-09-07,PL03,A,2026-04-18
SO-358175,OR,CUST-1009,MAT-10004,77,133785.89,2026-11-17,PL01,B,2026-03-03
SO-431737,OR,CUST-1014,MAT-10019,71,4292646.52,2026-11-23,PL03,B,2026-05-30
SO-237235,OR,CUST-1010,MAT-10009,55,3228.67,2026-10-27,PL02,A,2026-07-28
SO-204837,OR,CUST-1001,MAT-10015,77,343966.45,2026-11-02,PL02,A,2026-05-02
SO-487477,OR,CUST-1004,MAT-10003,36,275203.54,2026-11-07,PL03,B,2026-03-17
SO-413921,OR,CUST-1014,MAT-10001,75,299095.12,2026-09-16,PL02,A,2026-07-03
SO-385577,OR,CUST-1004,MAT-10018,24,207711.96,2026-10-12,PL01,C,2026-05-24
SO-363319,OR,CUST-1014,MAT-10017,67,1850.16,2026-09-05,PL01,C,2026-04-13
SO-103717,OR,CUST-1005,MAT-10009,10,598.71,2026-11-19,PL02,A,2026-04-08
SO-688153,OR,CUST-1000,MAT-10018,59,470488.77,2026-11-26,PL01,C,2026-07-21
SO-679364,OR,CUST-1002,MAT-10012,79,895812.86,2026-09-04,PL02,B,2026-07-20
SO-815198,OR,CUST-1003,MAT-10012,31,365195.38,2026-10-14,PL03,B,2026-06-21
SO-938742,OR,CUST-1012,MAT-10008,25,405408.01,2026-10-21,PL01,A,2026-05-06
SO-379766,OR,CUST-1002,MAT-10014,36,766740.09,2026-09-12,PL02,A,2026-04-01
SO-956253,OR,CUST-1014,MAT-10008,30,510070.24,2026-10-08,PL01,A,2026-07-24
SO-444207,OR,CUST-1004,MAT-10007,56,115207.19,2026-10-04,PL02,C,2026-03-22
SO-447235,OR,CUST-1000,MAT-10013,73,1772763.78,2026-10-02,PL01,C,2026-05-24
SO-725550,OR,CUST-1006,MAT-10002,18,4626.51,2026-10-09,PL02,C,2026-03-22
SO-704596,OR,CUST-1003,MAT-10004,54,88732.02,2026-10-24,PL01,C,2026-03-15
SO-552248,OR,CUST-1001,MAT-10007,51,106278.67,2026-10-11,PL03,B,2026-06-29
SO-424308,OR,CUST-1010,MAT-10010,69,9117145.66,2026-10-20,PL03,B,2026-03-11
SO-540869,OR,CUST-1010,MAT-10005,29,919698.62,2026-11-24,PL03,A,2026-03-07
SO-674553,OR,CUST-1013,MAT-10010,56,6902494.43,2026-10-05,PL01,B,2026-03-04
SO-587575,OR,CUST-1007,MAT-10020,46,143313.07,2026-09-26,PL03,B,2026-06-17
SO-640490,OR,CUST-1010,MAT-10003,41,338997.63,2026-10-11,PL01,A,2026-05-12
SO-254511,OR,CUST-1000,MAT-10008,30,475597.29,2026-10-29,PL03,A,2026-04-05
SO-303880,OR,CUST-1011,MAT-10014,78,1637841.58,2026-11-01,PL02,A,2026-06-23
SO-916232,OR,CUST-1006,MAT-10001,18,66741.66,2026-11-27,PL03,B,2026-07-18
SO-989545,OR,CUST-1001,MAT-10018,36,304197.02,2026-10-28,PL03,C,2026-03-09
SO-891937,OR,CUST-1014,MAT-10020,45,140207.06,2026-11-02,PL02,C,2026-04-07
SO-571932,OR,CUST-1004,MAT-10006,65,7384.42,2026-11-19,PL02,C,2026-03-28
SO-561239,OR,CUST-1001,MAT-10008,40,708203.48,2026-09-29,PL02,B,2026-05-10
SO-245095,OR,CUST-1002,MAT-10018,15,122087.11,2026-11-26,PL01,C,2026-06-06
SO-527398,OR,CUST-1005,MAT-10003,58,472681.27,2026-10-22,PL01,A,2026-04-14
SO-829308,OR,CUST-1000,MAT-10013,79,2164463.69,2026-11-11,PL02,B,2026-07-29
SO-890075,OR,CUST-1006,MAT-10012,43,521478.77,2026-10-22,PL03,C,2026-03-13
SO-611945,OR,CUST-1003,MAT-10020,33,99963.5,2026-10-31,PL01,B,2026-05-05
SO-981334,OR,CUST-1007,MAT-10013,26,719213.94,2026-11-17,PL03,A,2026-04-21
SO-795205,OR,CUST-1000,MAT-10019,77,4516532.34,2026-10-23,PL01,B,2026-06-14
SO-497519,OR,CUST-1005,MAT-10002,38,9549.34,2026-10-10,PL02,B,2026-05-20
SO-975467,OR,CUST-1001,MAT-10014,37,749324.46,2026-11-07,PL01,B,2026-06-03
SO-890870,OR,CUST-1000,MAT-10003,10,86838.65,2026-09-24,PL01,C,2026-06-21
SO-596564,OR,CUST-1010,MAT-10008,21,336891.04,2026-09-26,PL02,C,2026-05-26
SO-735324,OR,CUST-1009,MAT-10012,26,320646.21,2026-09-13,PL01,B,2026-07-03
SO-427110,OR,CUST-1009,MAT-10019,8,517671.54,2026-10-17,PL02,C,2026-06-10
SO-824161,OR,CUST-1013,MAT-10003,80,660860.45,2026-09-12,PL03,B,2026-06-30
SO-464069,OR,CUST-1008,MAT-10019,10,621694.56,2026-10-16,PL01,C,2026-05-04
SO-962276,OR,CUST-1007,MAT-10001,58,210916.39,2026-10-15,PL03,B,2026-06-21
SO-869440,OR,CUST-1008,MAT-10014,27,590923.71,2026-10-03,PL03,C,2026-03-29
