KUNNR,CTLPC,CTLPC_DESC,TOTAL_ORDERS,DISPUTED_ORDERS,DISPUTE_RATE,LATE_PAYMENTS,LATE_PAY_RATE,LAST_DISPUTE_TYPE,LAST_DISPUTE_DATE,CRBLB,BLACKLIST,CASHD,AVG_DSO_DAYS,VBAK_CTLPC
CUST-1001,003,HIGH,59,1,0.0169,2,0.0339,QUALITY_CLAIM,2026-06-17,,,2026-07-24,21,003
CUST-1002,001,LOW,42,4,0.0952,7,0.1667,PRICE_DISPUTE,2026-04-02,,,2026-06-10,62,001
CUST-1003,003,HIGH,100,11,0.11,17,0.17,NONE,2025-09-20,,X,2026-07-25,21,003
CUST-1004,001,LOW,183,2,0.0109,29,0.1585,PRICE_DISPUTE,2025-11-25,,,2026-06-21,36,001
CUST-1005,002,MEDIUM,189,1,0.0053,14,0.0741,DELIVERY_DELAY,2026-02-01,,,2026-08-25,24,002
CUST-1006,001,LOW,162,19,0.1173,19,0.1173,SHORT_SUPPLY,2026-01-31,,,2026-08-13,29,001
CUST-1007,001,LOW,165,10,0.0606,23,0.1394,QUALITY_CLAIM,2025-11-21,,,2026-06-12,24,001
CUST-1008,003,HIGH,56,1,0.0179,2,0.0357,NONE,2026-01-14,,,2026-07-06,65,003
CUST-1009,001,LOW,77,3,0.039,3,0.039,NONE,2026-04-29,,,2026-07-06,28,001
CUST-1010,001,LOW,17,1,0.0588,2,0.1176,DELIVERY_DELAY,2026-05-19,,,2026-08-22,25,001
CUST-1011,001,LOW,108,2,0.0185,12,0.1111,NONE,2026-03-20,,,2026-07-07,55,001
CUST-1012,002,MEDIUM,177,12,0.0678,12,0.0678,WRONG_SHIPMENT,2026-07-31,,,2026-08-06,62,002
CUST-1013,003,HIGH,150,6,0.04,6,0.04,SHORT_SUPPLY,2026-03-03,,,2026-07-20,37,003
CUST-1014,001,LOW,125,0,0.0,9,0.072,NONE,,,,2026-08-15,50,001
CUST-1015,001,LOW,165,18,0.1091,29,0.1758,NONE,2026-07-25,,,2026-08-03,35,001
CUST-1016,001,LOW,130,0,0.0,5,0.0385,PRICE_DISPUTE,,,,2026-07-05,41,001
CUST-1017,002,MEDIUM,169,12,0.071,24,0.142,NONE,2026-06-25,,,2026-06-27,57,002
CUST-1018,002,MEDIUM,92,3,0.0326,14,0.1522,NONE,2026-03-22,,,2026-07-25,57,002
CUST-1019,001,LOW,191,5,0.0262,25,0.1309,NONE,2025-09-10,,,2026-08-27,60,001
CUST-1020,001,LOW,65,2,0.0308,9,0.1385,NONE,2025-12-31,,,2026-08-15,32,001
CUST-1021,001,LOW,80,2,0.025,7,0.0875,NONE,2025-12-01,,,2026-06-22,38,001
CUST-1022,002,MEDIUM,55,1,0.0182,5,0.0909,DELIVERY_DELAY,2026-07-23,,,2026-06-09,44,002
CUST-1023,003,HIGH,32,3,0.0938,2,0.0625,QUALITY_CLAIM,2026-05-20,,,2026-07-25,69,003
CUST-1024,002,MEDIUM,166,4,0.0241,0,0.0,NONE,2025-10-11,,,2026-07-27,64,002
CUST-1025,002,MEDIUM,52,1,0.0192,9,0.1731,SHORT_SUPPLY,2026-06-02,,,2026-07-19,22,002
CUST-1026,002,MEDIUM,94,6,0.0638,6,0.0638,PRICE_DISPUTE,2026-05-15,,,2026-08-16,55,002
CUST-1027,001,LOW,93,5,0.0538,12,0.129,WRONG_SHIPMENT,2025-12-20,,,2026-07-18,33,001
CUST-1028,001,LOW,130,4,0.0308,20,0.1538,NONE,2026-05-04,,,2026-06-12,70,001
CUST-1029,001,LOW,171,9,0.0526,21,0.1228,DELIVERY_DELAY,2026-07-10,,,2026-06-27,45,001
CUST-1030,001,LOW,108,1,0.0093,10,0.0926,SHORT_SUPPLY,2025-09-15,,,2026-08-22,50,001
CUST-1031,001,LOW,18,2,0.1111,2,0.1111,QUALITY_CLAIM,2026-04-23,,,2026-07-04,31,001
CUST-1032,001,LOW,197,3,0.0152,14,0.0711,PRICE_DISPUTE,2026-07-09,,,2026-06-17,35,001
CUST-1033,001,LOW,158,17,0.1076,27,0.1709,WRONG_SHIPMENT,2026-05-12,,,2026-07-06,22,001
CUST-1034,001,LOW,176,2,0.0114,11,0.0625,DELIVERY_DELAY,2026-06-13,,,2026-07-17,71,001
CUST-1035,002,MEDIUM,56,6,0.1071,1,0.0179,NONE,2026-03-02,,,2026-08-27,50,002
CUST-1036,001,LOW,181,3,0.0166,23,0.1271,DELIVERY_DELAY,2025-12-21,,,2026-06-15,52,001
CUST-1037,002,MEDIUM,118,8,0.0678,15,0.1271,NONE,2026-03-01,,,2026-06-14,18,002
CUST-1038,001,LOW,38,4,0.1053,0,0.0,NONE,2026-03-19,,,2026-07-10,53,001
CUST-1039,002,MEDIUM,149,1,0.0067,12,0.0805,SHORT_SUPPLY,2026-02-25,,,2026-06-17,66,002
CUST-1040,001,LOW,46,5,0.1087,0,0.0,PRICE_DISPUTE,2026-01-14,,,2026-07-17,29,001
CUST-1041,001,LOW,157,16,0.1019,15,0.0955,NONE,2025-09-08,,,2026-07-19,51,001
CUST-1042,001,LOW,134,7,0.0522,10,0.0746,NONE,2026-01-14,,,2026-07-02,58,001
CUST-1043,001,LOW,114,4,0.0351,12,0.1053,SHORT_SUPPLY,2026-06-01,,,2026-07-01,56,001
CUST-1044,002,MEDIUM,123,11,0.0894,4,0.0325,WRONG_SHIPMENT,2026-03-02,,,2026-08-03,60,002
CUST-1045,001,LOW,58,0,0.0,9,0.1552,DELIVERY_DELAY,,,,2026-07-11,63,001
CUST-1046,002,MEDIUM,123,12,0.0976,4,0.0325,DELIVERY_DELAY,2026-06-23,,,2026-08-11,30,002
CUST-1047,002,MEDIUM,58,0,0.0,4,0.069,QUALITY_CLAIM,,,,2026-07-21,20,002
CUST-1048,001,LOW,84,2,0.0238,8,0.0952,WRONG_SHIPMENT,2026-06-04,,,2026-06-11,36,001
CUST-1049,001,LOW,199,15,0.0754,32,0.1608,QUALITY_CLAIM,2026-06-15,,,2026-06-02,48,001
CUST-1050,001,LOW,169,14,0.0828,4,0.0237,NONE,2025-10-03,,,2026-08-05,57,001
CUST-1051,001,LOW,164,19,0.1159,8,0.0488,QUALITY_CLAIM,2025-09-01,,,2026-07-01,28,001
CUST-1052,003,HIGH,143,6,0.042,3,0.021,PRICE_DISPUTE,2026-07-02,,,2026-06-04,32,003
CUST-1053,001,LOW,122,6,0.0492,13,0.1066,PRICE_DISPUTE,2026-05-06,,,2026-07-18,63,001
CUST-1054,001,LOW,12,0,0.0,0,0.0,NONE,,,,2026-08-05,30,001
CUST-1055,002,MEDIUM,53,4,0.0755,5,0.0943,WRONG_SHIPMENT,2025-10-26,,,2026-07-11,43,002
CUST-1056,001,LOW,60,1,0.0167,0,0.0,NONE,2025-09-11,,,2026-07-09,20,001
CUST-1057,001,LOW,95,2,0.0211,8,0.0842,WRONG_SHIPMENT,2025-11-02,,,2026-06-20,33,001
CUST-1058,001,LOW,152,0,0.0,11,0.0724,DELIVERY_DELAY,,,,2026-07-08,44,001
CUST-1059,002,MEDIUM,169,5,0.0296,21,0.1243,PRICE_DISPUTE,2026-07-01,,,2026-08-11,46,002
CUST-1060,003,HIGH,113,8,0.0708,13,0.115,DELIVERY_DELAY,2025-12-09,,,2026-06-12,66,003
CUST-1061,001,LOW,123,14,0.1138,7,0.0569,WRONG_SHIPMENT,2026-05-02,,,2026-08-26,72,001
CUST-1062,001,LOW,154,6,0.039,27,0.1753,NONE,2026-04-18,,,2026-07-06,31,001
CUST-1063,003,HIGH,135,13,0.0963,23,0.1704,QUALITY_CLAIM,2025-11-15,,X,2026-07-04,39,003
CUST-1064,001,LOW,174,3,0.0172,25,0.1437,DELIVERY_DELAY,2026-01-09,,,2026-08-06,47,001
CUST-1065,001,LOW,38,1,0.0263,3,0.0789,SHORT_SUPPLY,2026-06-06,,,2026-06-27,18,001
CUST-1066,001,LOW,31,1,0.0323,1,0.0323,DELIVERY_DELAY,2026-04-20,,,2026-06-13,32,001
CUST-1067,003,HIGH,195,19,0.0974,9,0.0462,QUALITY_CLAIM,2025-10-28,,X,2026-06-29,72,003
CUST-1068,003,HIGH,142,7,0.0493,11,0.0775,DELIVERY_DELAY,2025-12-07,,,2026-07-11,65,003
CUST-1069,003,HIGH,165,2,0.0121,16,0.097,NONE,2026-02-15,,,2026-08-11,63,003
CUST-1070,002,MEDIUM,200,22,0.11,1,0.005,NONE,2025-11-27,,,2026-07-29,49,002
CUST-1071,003,HIGH,110,1,0.0091,1,0.0091,NONE,2025-09-12,,,2026-07-24,64,003
CUST-1072,001,LOW,106,9,0.0849,5,0.0472,PRICE_DISPUTE,2025-09-09,,,2026-07-26,52,001
CUST-1073,002,MEDIUM,145,3,0.0207,20,0.1379,SHORT_SUPPLY,2026-03-27,,,2026-06-29,67,002
CUST-1074,002,MEDIUM,31,1,0.0323,3,0.0968,NONE,2026-01-03,,,2026-08-18,25,002
CUST-1075,001,LOW,129,3,0.0233,11,0.0853,NONE,2025-10-08,,,2026-07-01,72,001
CUST-1076,002,MEDIUM,148,7,0.0473,17,0.1149,SHORT_SUPPLY,2026-02-02,,,2026-06-26,60,002
CUST-1077,001,LOW,139,5,0.036,23,0.1655,PRICE_DISPUTE,2026-05-15,,,2026-07-08,62,001
CUST-1078,001,LOW,112,6,0.0536,11,0.0982,NONE,2025-10-31,,,2026-06-06,42,001
CUST-1079,001,LOW,55,4,0.0727,5,0.0909,QUALITY_CLAIM,2026-05-22,,,2026-06-17,38,001
CUST-1080,002,MEDIUM,126,6,0.0476,9,0.0714,DELIVERY_DELAY,2026-02-06,,,2026-06-28,38,002
CUST-1081,002,MEDIUM,69,4,0.058,10,0.1449,NONE,2025-09-13,,,2026-08-20,58,002
CUST-1082,002,MEDIUM,14,1,0.0714,2,0.1429,SHORT_SUPPLY,2026-05-23,,,2026-07-27,55,002
CUST-1083,001,LOW,167,0,0.0,14,0.0838,SHORT_SUPPLY,,,,2026-08-03,58,001
CUST-1084,001,LOW,133,4,0.0301,19,0.1429,NONE,2025-12-27,,,2026-07-29,55,001
CUST-1085,002,MEDIUM,89,1,0.0112,14,0.1573,NONE,2025-11-25,,,2026-08-09,19,002
CUST-1086,002,MEDIUM,155,0,0.0,17,0.1097,NONE,,,,2026-07-29,37,002
CUST-1087,001,LOW,187,21,0.1123,31,0.1658,SHORT_SUPPLY,2025-10-18,,,2026-06-07,40,001
CUST-1088,001,LOW,187,19,0.1016,18,0.0963,NONE,2026-03-12,,,2026-07-08,22,001
CUST-1089,001,LOW,142,6,0.0423,25,0.1761,SHORT_SUPPLY,2026-06-04,,,2026-08-19,44,001
CUST-1090,001,LOW,130,7,0.0538,9,0.0692,NONE,2025-11-08,,,2026-07-26,58,001
