KUNNR,NAME1,KKBER,KLIMK,SKFOR,CTLPC,CTLPC_DESC,CRBLB,CASHD,ZTERM,GRUPP,WAERS
CUST-1000,Customer CUST-1000,CC01,10000000,4610373.23,001,LOW,,2026-05-07,NET45,CG01,INR
CUST-1001,Customer CUST-1001,CC01,5000000,2231590.32,001,LOW,,2026-06-26,LC,CG03,INR
CUST-1002,Customer CUST-1002,CC01,2000000,634440.0,002,MEDIUM,,2026-05-08,NET60,CG01,INR
CUST-1003,Customer CUST-1003,CC01,2000000,1557398.83,001,LOW,,2026-07-12,NET60,CG03,INR
CUST-1004,Customer CUST-1004,CC01,2000000,1266949.23,002,MEDIUM,,2026-06-19,NET45,CG01,INR
CUST-1005,Customer CUST-1005,CC01,5000000,2965733.54,001,LOW,,2026-05-19,NET45,CG03,INR
CUST-1006,Customer CUST-1006,CC01,5000000,2844523.65,001,LOW,,2026-08-22,NET30,CG02,INR
CUST-1007,Customer CUST-1007,CC01,1000000,483723.62,001,LOW,,2026-06-11,NET60,CG02,INR
CUST-1008,Customer CUST-1008,CC01,2000000,1110604.58,002,MEDIUM,,2026-05-21,LC,CG02,INR
CUST-1009,Customer CUST-1009,CC01,5000000,2312749.28,001,LOW,,2026-07-23,NET45,CG01,INR
CUST-1010,Customer CUST-1010,CC01,2000000,743465.69,002,MEDIUM,,2026-06-17,NET45,CG01,INR
CUST-1011,Customer CUST-1011,CC01,5000000,2329498.88,001,LOW,,2026-06-10,LC,CG03,INR
CUST-1012,Customer CUST-1012,CC01,500000,399788.51,001,LOW,,2026-07-18,NET45,CG02,INR
CUST-1013,Customer CUST-1013,CC01,500000,362405.55,001,LOW,,2026-08-08,NET60,CG01,INR
CUST-1014,Customer CUST-1014,CC01,10000000,4752819.87,003,HIGH,,2026-08-08,ADVANCE,CG01,INR
