LIFNR,NAME1,ORT01,MATNR,NETPR,MINBM,WEBAZ,EKGRP,MONTHLY_CAP,BOOKED_CAP,AVAIL_CAP,RELIABILITY,LAND1,LOEVM
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10001,2778.45,10,18,PG02,304,236,68,0.95,IN,
VEND-3011,National Electrical Traders Mumbai,Maharashtra,MAT-CG-10001,2487.74,5,13,PG02,134,58,76,0.87,IN,
VEND-3007,Crompton Authorized WD Kolkata,West Bengal,MAT-CG-10001,2482.97,50,24,PG02,261,128,133,0.9,IN,
VEND-3001,Crompton Greaves OEM Direct,Maharashtra,MAT-CG-10002,3825.39,20,12,PG01,267,41,226,0.99,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10002,3360.66,50,30,PG02,219,107,112,0.88,IN,
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10002,3355.7,10,22,PG03,86,61,25,0.95,IN,
VEND-3008,Crompton Authorized WD Ahmedabad,Gujarat,MAT-CG-10002,3393.59,10,5,PG03,140,11,129,0.93,IN,
VEND-3009,Crompton Authorized WD Pune,Maharashtra,MAT-CG-10002,3973.98,2,26,PG01,262,118,144,0.92,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10003,5822.13,20,6,PG03,451,116,335,0.93,IN,
VEND-3007,Crompton Authorized WD Kolkata,West Bengal,MAT-CG-10003,4835.88,20,7,PG02,219,51,168,0.9,IN,
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10003,4793.03,20,13,PG03,401,7,394,0.95,IN,
VEND-3012,Electro Power Systems Delhi,Delhi,MAT-CG-10003,5414.81,10,22,PG03,168,129,39,0.85,IN,
VEND-3001,Crompton Greaves OEM Direct,Maharashtra,MAT-CG-10003,5035.89,5,30,PG03,415,150,265,0.99,IN,
VEND-3007,Crompton Authorized WD Kolkata,West Bengal,MAT-CG-10004,7250.58,10,20,PG01,432,67,365,0.9,IN,
VEND-3010,Crompton Authorized WD Nagpur,Maharashtra,MAT-CG-10004,6512.26,50,30,PG03,503,375,128,0.89,IN,
VEND-3009,Crompton Authorized WD Pune,Maharashtra,MAT-CG-10004,6678.38,10,30,PG03,224,121,103,0.92,IN,
VEND-3014,Eastern Motor Traders Kolkata,West Bengal,MAT-CG-10004,7696.87,2,6,PG02,164,54,110,0.84,IN,
VEND-3004,Crompton Authorized WD Bengaluru,Karnataka,MAT-CG-10004,6607.83,50,26,PG03,420,23,397,0.94,IN,
