MATNR,WERKS,LGORT,LABST,RETME,EINME,INSME,UMLME,LAEDT
MAT-10001,PL01,WH-MUM,41,22,63,3,0,2026-08-07
MAT-10001,PL02,WH-DEL,238,144,382,6,0,2026-08-22
MAT-10001,PL03,WH-BLR,199,80,279,4,0,2026-08-04
MAT-10002,PL01,WH-MUM,489,6,495,2,0,2026-08-07
MAT-10002,PL02,WH-DEL,218,48,266,4,0,2026-08-25
MAT-10002,PL03,WH-BLR,107,53,160,5,0,2026-08-26
MAT-10003,PL01,WH-MUM,68,29,97,1,0,2026-08-18
MAT-10003,PL02,WH-DEL,390,93,483,9,0,2026-08-21
MAT-10003,PL03,WH-BLR,447,16,463,7,0,2026-08-12
MAT-10004,PL01,WH-MUM,84,29,113,1,0,2026-08-12
MAT-10004,PL02,WH-DEL,149,51,200,9,0,2026-08-23
MAT-10004,PL03,WH-BLR,388,22,410,0,0,2026-08-08
MAT-10005,PL01,WH-MUM,112,54,166,4,0,2026-08-27
MAT-10005,PL02,WH-DEL,423,64,487,1,0,2026-08-17
MAT-10005,PL03,WH-BLR,129,63,192,10,0,2026-08-03
MAT-10006,PL01,WH-MUM,211,25,236,5,0,2026-08-18
MAT-10006,PL02,WH-DEL,110,47,157,4,0,2026-08-07
MAT-10006,PL03,WH-BLR,376,23,399,9,0,2026-08-09
MAT-10007,PL01,WH-MUM,98,39,137,3,0,2026-08-24
MAT-10007,PL02,WH-DEL,233,53,286,4,0,2026-07-31
MAT-10007,PL03,WH-BLR,230,147,377,3,0,2026-08-08
MAT-10008,PL01,WH-MUM,204,12,216,3,0,2026-08-03
MAT-10008,PL02,WH-DEL,51,15,66,6,0,2026-08-21
MAT-10008,PL03,WH-BLR,72,11,83,9,0,2026-08-01
MAT-10009,PL01,WH-MUM,332,85,417,3,0,2026-08-09
MAT-10009,PL02,WH-DEL,250,55,305,10,0,2026-08-15
MAT-10009,PL03,WH-BLR,102,21,123,2,0,2026-08-22
MAT-10010,PL01,WH-MUM,283,148,431,8,0,2026-08-21
MAT-10010,PL02,WH-DEL,278,154,432,6,0,2026-08-01
MAT-10010,PL03,WH-BLR,241,107,348,5,0,2026-08-22
MAT-10011,PL01,WH-MUM,83,37,120,7,0,2026-08-27
MAT-10011,PL02,WH-DEL,419,17,436,1,0,2026-08-25
MAT-10011,PL03,WH-BLR,326,45,371,10,0,2026-08-16
MAT-10012,PL01,WH-MUM,334,21,355,6,0,2026-08-17
MAT-10012,PL02,WH-DEL,231,124,355,8,0,2026-08-21
MAT-10012,PL03,WH-BLR,326,7,333,10,0,2026-08-06
MAT-10013,PL01,WH-MUM,69,39,108,4,0,2026-08-05
MAT-10013,PL02,WH-DEL,286,92,378,1,0,2026-08-20
MAT-10013,PL03,WH-BLR,247,25,272,7,0,2026-08-29
MAT-10014,PL01,WH-MUM,347,72,419,8,0,2026-08-05
MAT-10014,PL02,WH-DEL,104,37,141,1,0,2026-08-02
MAT-10014,PL03,WH-BLR,289,81,370,10,0,2026-08-13
MAT-10015,PL01,WH-MUM,306,55,361,2,0,2026-08-18
MAT-10015,PL02,WH-DEL,394,46,440,8,0,2026-07-30
MAT-10015,PL03,WH-BLR,308,140,448,0,0,2026-08-10
MAT-10016,PL01,WH-MUM,148,67,215,0,0,2026-08-26
MAT-10016,PL02,WH-DEL,191,44,235,3,0,2026-08-28
MAT-10016,PL03,WH-BLR,158,15,173,1,0,2026-08-06
MAT-10017,PL01,WH-MUM,189,109,298,1,0,2026-08-05
MAT-10017,PL02,WH-DEL,219,103,322,2,0,2026-08-25
MAT-10017,PL03,WH-BLR,261,126,387,8,0,2026-08-24
MAT-10018,PL01,WH-MUM,113,72,185,9,0,2026-08-16
MAT-10018,PL02,WH-DEL,119,39,158,3,0,2026-08-07
MAT-10018,PL03,WH-BLR,153,56,209,10,0,2026-08-09
MAT-10019,PL01,WH-MUM,180,61,241,8,0,2026-08-15
MAT-10019,PL02,WH-DEL,91,20,111,3,0,2026-08-27
MAT-10019,PL03,WH-BLR,216,7,223,9,0,2026-08-12
MAT-10020,PL01,WH-MUM,125,42,167,3,0,2026-08-29
MAT-10020,PL02,WH-DEL,59,27,86,10,0,2026-08-28
MAT-10020,PL03,WH-BLR,158,9,167,0,0,2026-08-02
