MATNR,WERKS,STPRS,VERPR,PEINH,WAERS,FLOOR_MARGIN,FLOOR_PRICE,LAEDT
MAT-CG-10001,PL-PUN,2851.28,2882.25,1,INR,0.1384,3309.29,2026-08-14
MAT-CG-10002,PL-DEL,3590.14,3668.09,1,INR,0.1329,4140.4,2026-07-23
MAT-CG-10003,PL-CHE,5378.17,5273.31,1,INR,0.2071,6782.91,2026-08-22
MAT-CG-10004,PL-HYD,7701.04,7743.73,1,INR,0.1965,9584.37,2026-08-20
MAT-CG-10005,PL-DEL,11799.12,11552.01,1,INR,0.1491,13866.64,2026-08-23
MAT-CG-10006,PL-PUN,16754.23,16281.84,1,INR,0.1828,20501.99,2026-07-03
MAT-CG-10007,PL-JAI,21300.25,20929.74,1,INR,0.2055,26809.63,2026-08-19
MAT-CG-10008,PL-MUM,28037.7,28393.82,1,INR,0.1712,33829.27,2026-07-26
MAT-CG-10009,PL-DEL,39337.75,38263.32,1,INR,0.1434,45923.13,2026-08-23
MAT-CG-10010,PL-MUM,38891.74,37762.97,1,INR,0.1484,45669.02,2026-07-17
MAT-CG-10011,PL-AHM,52304.75,51095.3,1,INR,0.1669,62783.28,2026-07-03
MAT-CG-10012,PL-JAI,60256.78,60876.72,1,INR,0.1973,75067.62,2026-07-26
MAT-CG-10013,PL-AHM,15169.91,14825.59,1,INR,0.1841,18592.85,2026-07-26
MAT-CG-10014,PL-KOL,17135.65,17016.09,1,INR,0.1536,20245.33,2026-08-25
MAT-CG-10015,PL-HYD,23086.49,23637.44,1,INR,0.2034,28981.28,2026-08-12
MAT-CG-10016,PL-DEL,35917.04,36110.2,1,INR,0.182,43908.36,2026-07-13
MAT-CG-10017,PL-AHM,38602.55,39258.11,1,INR,0.1686,46430.78,2026-07-12
MAT-CG-10018,PL-HYD,57229.86,56594.13,1,INR,0.1813,69903.33,2026-08-04
MAT-CG-10019,PL-DEL,66897.36,65030.4,1,INR,0.1771,81294.64,2026-08-18
MAT-CG-10020,PL-PUN,85162.7,86876.01,1,INR,0.2096,107746.33,2026-08-05
MAT-CG-10021,PL-CHE,108874.63,111771.51,1,INR,0.1303,125186.42,2026-07-01
MAT-CG-10022,PL-DEL,146626.76,145143.55,1,INR,0.1603,174618.03,2026-07-04
MAT-CG-10023,PL-AHM,204467.97,203512.06,1,INR,0.1649,244842.5,2026-08-25
MAT-CG-10024,PL-AHM,22024.7,22574.62,1,INR,0.2024,27613.72,2026-08-11
MAT-CG-10025,PL-HYD,42332.08,43568.47,1,INR,0.1867,52049.77,2026-08-30
MAT-CG-10026,PL-DEL,70875.96,70445.7,1,INR,0.1733,85733.59,2026-07-09
MAT-CG-10027,PL-JAI,102106.88,101919.62,1,INR,0.1773,124111.92,2026-07-28
MAT-CG-10028,PL-NGP,4419.82,4488.82,1,INR,0.1594,5257.93,2026-08-03
MAT-CG-10029,PL-NGP,5745.95,5622.12,1,INR,0.1462,6729.85,2026-07-27
MAT-CG-10030,PL-AHM,8968.46,8785.13,1,INR,0.1752,10873.5,2026-07-23
MAT-CG-10031,PL-HYD,12467.76,12497.63,1,INR,0.1312,14350.55,2026-07-26
MAT-CG-10032,PL-JAI,17981.73,17569.93,1,INR,0.2018,22527.85,2026-07-28
MAT-CG-10033,PL-PUN,12937.99,13156.58,1,INR,0.1828,15832.1,2026-08-26
MAT-CG-10034,PL-JAI,17285.27,17211.38,1,INR,0.1597,20570.36,2026-08-07
MAT-CG-10035,PL-PUN,28932.14,29620.94,1,INR,0.1362,33494.03,2026-08-29
MAT-CG-10036,PL-MUM,42247.54,43371.16,1,INR,0.1489,49638.75,2026-08-22
MAT-CG-10037,PL-KOL,61358.75,61191.43,1,INR,0.1861,75388.56,2026-07-21
MAT-CG-10038,PL-BLR,14032.85,13931.93,1,INR,0.1747,17003.33,2026-08-11
MAT-CG-10039,PL-MUM,25096.0,25489.08,1,INR,0.1743,30393.61,2026-07-04
MAT-CG-10040,PL-DEL,33504.28,34075.12,1,INR,0.2048,42133.15,2026-08-07
MAT-CG-10041,PL-DEL,47863.13,47749.9,1,INR,0.1551,56649.46,2026-08-01
MAT-CG-10042,PL-BLR,1944.97,1943.6,1,INR,0.1372,2254.25,2026-08-06
MAT-CG-10043,PL-DEL,3111.72,3119.53,1,INR,0.1927,3854.48,2026-07-10
MAT-CG-10044,PL-CHE,4206.84,4103.83,1,INR,0.1741,5093.64,2026-07-16
MAT-CG-10045,PL-AHM,5434.7,5358.49,1,INR,0.2052,6837.82,2026-08-20
MAT-CG-10046,PL-KOL,6765.67,6770.63,1,INR,0.2054,8514.56,2026-08-26
MAT-CG-10047,PL-CHE,5341.45,5412.28,1,INR,0.1949,6634.52,2026-08-07
MAT-CG-10048,PL-NGP,7255.59,7188.81,1,INR,0.1406,8442.62,2026-08-12
MAT-CG-10049,PL-MUM,10204.76,10093.91,1,INR,0.1967,12703.55,2026-07-12
MAT-CG-10050,PL-JAI,15258.09,14929.92,1,INR,0.1302,17542.07,2026-07-07
MAT-CG-10051,PL-MUM,22540.77,22825.2,1,INR,0.1698,27151.01,2026-08-29
