ROUTE,VSTEL,BZIRK,TDLNR,TRATY,TTIME,LPTIME,MAX_KG,BOOKED_KG,AVAIL_KG,NEXT_SLOT,LAEDT
RT-MUM-NORTH,WH-MUM-01,ZONE-NORTH,BlueDart,ROAD,3,1,25000,7201,17799,2026-09-03,2026-08-11
RT-MUM-SOUTH,WH-MUM-01,ZONE-SOUTH,Delhivery,ROAD,2,1,20000,11564,8436,2026-09-02,2026-08-23
RT-MUM-EAST,WH-MUM-01,ZONE-EAST,DTDC,ROAD,4,1,15000,11357,3643,2026-08-31,2026-08-25
RT-MUM-WEST,WH-MUM-01,ZONE-WEST,FedEx,ROAD,1,1,22000,8192,13808,2026-09-02,2026-08-24
RT-MUM-CENT,WH-MUM-01,ZONE-CENTRAL,Gati,ROAD,2,1,18000,4226,13774,2026-09-01,2026-08-01
RT-DEL-NORTH,WH-DEL-01,ZONE-NORTH,BlueDart,ROAD,1,1,20000,6862,13138,2026-09-04,2026-08-13
RT-DEL-SOUTH,WH-DEL-01,ZONE-SOUTH,Delhivery,ROAD,4,1,15000,10157,4843,2026-09-03,2026-08-25
RT-DEL-EAST,WH-DEL-01,ZONE-EAST,DTDC,ROAD,2,1,18000,6222,11778,2026-09-01,2026-08-22
RT-DEL-WEST,WH-DEL-01,ZONE-WEST,Gati,ROAD,3,1,14000,9021,4979,2026-09-01,2026-08-29
RT-DEL-CENT,WH-DEL-01,ZONE-CENTRAL,FedEx,ROAD,2,1,16000,4460,11540,2026-09-02,2026-08-16
RT-BLR-SOUTH,WH-BLR-01,ZONE-SOUTH,BlueDart,ROAD,1,1,22000,5329,16671,2026-09-04,2026-08-05
RT-BLR-WEST,WH-BLR-01,ZONE-WEST,Delhivery,ROAD,2,1,18000,11874,6126,2026-08-31,2026-08-28
RT-BLR-NORTH,WH-BLR-01,ZONE-NORTH,DTDC,ROAD,4,1,12000,5779,6221,2026-09-01,2026-07-31
RT-BLR-EAST,WH-BLR-01,ZONE-EAST,Gati,ROAD,5,1,10000,3013,6987,2026-09-01,2026-08-21
RT-HYD-SOUTH,WH-HYD-01,ZONE-SOUTH,BlueDart,ROAD,1,1,20000,4646,15354,2026-09-02,2026-08-29
RT-HYD-CENT,WH-HYD-01,ZONE-CENTRAL,Delhivery,ROAD,2,1,15000,7086,7914,2026-09-03,2026-08-01
RT-HYD-WEST,WH-HYD-01,ZONE-WEST,DTDC,ROAD,3,1,12000,8585,3415,2026-09-04,2026-08-16
RT-CHE-SOUTH,WH-CHE-01,ZONE-SOUTH,BlueDart,ROAD,1,1,18000,11743,6257,2026-08-31,2026-08-04
RT-CHE-EAST,WH-CHE-01,ZONE-EAST,DTDC,ROAD,3,1,12000,9225,2775,2026-09-03,2026-08-20
RT-CHE-WEST,WH-CHE-01,ZONE-WEST,Delhivery,ROAD,3,1,14000,9960,4040,2026-09-03,2026-08-27
RT-KOL-EAST,WH-KOL-01,ZONE-EAST,BlueDart,ROAD,1,1,16000,9373,6627,2026-09-04,2026-08-01
RT-KOL-NORTH,WH-KOL-01,ZONE-NORTH,Delhivery,ROAD,2,1,14000,10284,3716,2026-09-02,2026-08-29
RT-KOL-CENT,WH-KOL-01,ZONE-CENTRAL,Gati,ROAD,3,1,10000,4395,5605,2026-09-04,2026-08-23
RT-AHM-WEST,WH-AHM-01,ZONE-WEST,BlueDart,ROAD,1,1,20000,10657,9343,2026-09-03,2026-08-26
RT-AHM-NORTH,WH-AHM-01,ZONE-NORTH,Gati,ROAD,2,1,16000,11023,4977,2026-09-03,2026-08-10
RT-AHM-CENT,WH-AHM-01,ZONE-CENTRAL,Delhivery,ROAD,3,1,12000,3504,8496,2026-09-04,2026-08-03
RT-PUN-WEST,WH-PUN-01,ZONE-WEST,BlueDart,ROAD,1,1,18000,13991,4009,2026-09-01,2026-08-26
RT-PUN-NORTH,WH-PUN-01,ZONE-NORTH,Delhivery,ROAD,2,1,14000,5549,8451,2026-08-31,2026-08-05
RT-NGP-CENT,WH-NGP-01,ZONE-CENTRAL,BlueDart,ROAD,1,1,15000,11889,3111,2026-09-02,2026-08-18
RT-NGP-EAST,WH-NGP-01,ZONE-EAST,DTDC,ROAD,2,1,12000,5333,6667,2026-09-04,2026-08-21
RT-NGP-SOUTH,WH-NGP-01,ZONE-SOUTH,Gati,ROAD,3,1,10000,6418,3582,2026-09-04,2026-08-07
RT-JAI-NORTH,WH-JAI-01,ZONE-NORTH,BlueDart,ROAD,1,1,16000,10536,5464,2026-09-01,2026-08-15
RT-JAI-WEST,WH-JAI-01,ZONE-WEST,Delhivery,ROAD,2,1,14000,4962,9038,2026-09-01,2026-08-16
RT-JAI-CENT,WH-JAI-01,ZONE-CENTRAL,Gati,ROAD,2,1,12000,6666,5334,2026-08-31,2026-08-05
